station_id	datetime_utc	sa	ra
1010000001	2011-02-28 15:00:00	21	0
1010000002	2011-02-28 15:00:00	24	0
1010000003	2011-02-28 15:00:00	22	0
1010000004	2011-02-28 15:00:00	26	0
1010000005	2011-02-28 15:00:00	17	0
1010000006	2011-02-28 15:00:00	20	0
1010000007	2011-02-28 15:00:00	10	0
1010000008	2011-02-28 15:00:00	18	0
1010000009	2011-02-28 15:00:00	11	0
1020000001	2011-02-28 15:00:00	17	0
1020000002	2011-02-28 15:00:00	23	0
1020000003	2011-02-28 15:00:00	23	0
1020000004	2011-02-28 15:00:00	20	0
1020000005	2011-02-28 15:00:00	20	0
1020000006	2011-02-28 15:00:00	20	0
1020000010	2011-02-28 15:00:00	18	0
1020000011	2011-02-28 15:00:00	18	0
1020000012	2011-02-28 15:00:00	22	0
1020000021	2011-02-28 15:00:00	28	-888
1020000022	2011-02-28 15:00:00	17	-888
1020000023	2011-02-28 15:00:00	19	-888
1020000024	2011-02-28 15:00:00	16	-888
1020000025	2011-02-28 15:00:00	22	-888
1020000026	2011-02-28 15:00:00	21	0
1040000001	2011-02-28 15:00:00	11	0
1040000002	2011-02-28 15:00:00	19	0
1040000003	2011-02-28 15:00:00	19	-888
1040000004	2011-02-28 15:00:00	16	0
1040000005	2011-02-28 15:00:00	13	0
1040000006	2011-02-28 15:00:00	13	-888
1040000013	2011-02-28 15:00:00	17	0
1070000001	2011-02-28 15:00:00	51	-888
1070000002	2011-02-28 15:00:00	35	-888
1070000003	2011-02-28 15:00:00	35	-888
1070000004	2011-02-28 15:00:00	39	-888
1070000005	2011-02-28 15:00:00	45	0
1070000006	2011-02-28 15:00:00	40	-888
1070000007	2011-02-28 15:00:00	42	0
1070000008	2011-02-28 15:00:00	41	-888
1070000009	2011-02-28 15:00:00	44	-888
1070000010	2011-02-28 15:00:00	41	-888
1070000011	2011-02-28 15:00:00	52	-888
1070000012	2011-02-28 15:00:00	47	-888
1070000013	2011-02-28 15:00:00	42	-888
1070000016	2011-02-28 15:00:00	46	-888
1070000017	2011-02-28 15:00:00	43	-888
1070000018	2011-02-28 15:00:00	42	-888
1070000020	2011-02-28 15:00:00	45	-888
1070000021	2011-02-28 15:00:00	40	-888
1070000022	2011-02-28 15:00:00	42	-888
1070000023	2011-02-28 15:00:00	37	-888
1070000024	2011-02-28 15:00:00	39	-888
1070000025	2011-02-28 15:00:00	40	-888
1070000026	2011-02-28 15:00:00	38	-888
1080000001	2011-02-28 15:00:00	45	-888
1080000002	2011-02-28 15:00:00	48	-888
1080000003	2011-02-28 15:00:00	46	-888
1080000004	2011-02-28 15:00:00	45	-888
1080000005	2011-02-28 15:00:00	44	0
1080000006	2011-02-28 15:00:00	50	-888
1080000007	2011-02-28 15:00:00	49	-888
1080000008	2011-02-28 15:00:00	39	0
1080000009	2011-02-28 15:00:00	40	-888
1080000010	2011-02-28 15:00:00	43	-888
1080000011	2011-02-28 15:00:00	46	-888
1080000012	2011-02-28 15:00:00	42	-888
1080000013	2011-02-28 15:00:00	46	-888
1080000014	2011-02-28 15:00:00	47	-888
1080000015	2011-02-28 15:00:00	39	-888
1080000016	2011-02-28 15:00:00	41	-888
1080000017	2011-02-28 15:00:00	44	-888
1080000018	2011-02-28 15:00:00	38	-888
1080000019	2011-02-28 15:00:00	44	-888
1080000020	2011-02-28 15:00:00	48	-888
1080000021	2011-02-28 15:00:00	46	-888
1080000022	2011-02-28 15:00:00	37	-888
1080000023	2011-02-28 15:00:00	37	0
1080000024	2011-02-28 15:00:00	34	-888
1080000025	2011-02-28 15:00:00	41	-888
1080000026	2011-02-28 15:00:00	31	0
1080000027	2011-02-28 15:00:00	37	-888
1080000028	2011-02-28 15:00:00	37	0
1080000029	2011-02-28 15:00:00	38	-888
1080000030	2011-02-28 15:00:00	-999	-888
1080000031	2011-02-28 15:00:00	39	0
1080000032	2011-02-28 15:00:00	42	-888
1080000033	2011-02-28 15:00:00	39	-888
1080000034	2011-02-28 15:00:00	36	-888
1080000035	2011-02-28 15:00:00	-999	0
1080000036	2011-02-28 15:00:00	41	-888
1080000037	2011-02-28 15:00:00	41	0
1080000038	2011-02-28 15:00:00	41	0
1080000039	2011-02-28 15:00:00	-999	-888
1140000001	2011-02-28 15:00:00	22	0
1140000002	2011-02-28 15:00:00	36	-888
1140000003	2011-02-28 15:00:00	28	-888
1140000004	2011-02-28 15:00:00	42	-888
1140000005	2011-02-28 15:00:00	38	-888
1140000006	2011-02-28 15:00:00	26	0
